Wagner|Der Ring des Nibelungen
Mozart|Don Giovanni
Wagner|Tristan und Isolde
Mozart|Le nozze di Figaro
Verdi|Don Carlos
Mozart|Die Zauberflöte
Debussy|Pelléas et Mélisande
Berg|Wozzeck
Monteverdi|L’Orfeo
Bartók|Bluebeard’s Castle
Mozart|Così fan tutte
Wagner|Parsifal
Verdi|Otello
Wagner|Die Meistersinger von Nürnberg
Bizet|Carmen
Verdi|La traviata
Puccini|La bohème
Verdi|Rigoletto
Puccini|Madama Butterfly
Strauss|Der Rosenkavalier
Rossini|Il barbiere di Siviglia
Wagner|Lohengrin
Mussorgsky|Boris Godunov
Bellini|Norma
Donizetti|Lucia di Lammermoor
Britten|Peter Grimes
Puccini|Tosca
Schoenberg|Moses und Aron
Puccini|Turandot
Tchaikovsky|Eugene Onegin
Verdi|Aida
Strauss|Salome
Rossini|La Cenerentola
Beethoven|Fidelio
Gershwin|Porgy and Bess
Verdi|Il trovatore
Puccini|La fanciulla del West
Wagner|Der fliegende Holländer
Saariaho|L'Amour de loin
Offenbach|Les contes d'Hoffmann
Gounod|Faust
Handel|Giulio Cesare
Mozart|Die Entführung aus dem Serail
Wagner|Tannhäuser
Janáček|Jenůfa
Rossini|Guillaume Tell
Purcell|Dido and Aeneas
Berg|Lulu
Adams|Nixon in China
Donizetti|L'elisir d'amore
Mascagni|Cavalleria Rusticana
Monteverdi|L'incoronazione di Poppea
Verdi|Falstaff
Gluck|Orfeo ed Euridice
Leoncavallo|Pagliacci
Berlioz|Les Troyens
Weber|Der Freischütz
Rameau|Les Indes galantes
Ravel|L'enfant et les sortilèges
Messiaen|Saint François d'Assise
Strauss|Elektra
Puccini|Il trittico
Stravinsky|The Rake’s Progress
Mozart|Idomeneo
Britten|The Turn of the Screw
Massenet|Werther
Shostakovich|Lady Macbeth of the Mtsensk District
Dvořák|Rusalka
Smetana|The Bartered Bride
Ligeti|Le grand macabre
Janáček|The Cunning Little Vixen
Verdi|Un ballo in maschera
Poulenc|Dialogues des carmélites
Bellini|La sonnambula
Boito|Mefistofele
Glass|Satyagraha
Glass|Einstein on the Beach
Rossini|L'italiana in Algeri
Verdi|La forza del destino 
Mussorgsky|Khovanshchina
Verdi|Macbeth
Donizetti|Don Pasquale
Bellini|I puritani
Britten|Billy Budd
Giordano|Andrea Chénier
Strauss II|Die Fledermaus
Massenet|Manon
Strauss|Die Frau ohne Schatten
Janáček|From the House of the Dead
Glass|Akhnaten
Gounod|Roméo et Juliette
Verdi|Simon Boccanegra
Verdi|Nabucco
Borodin|Prince Igor
Prokofiev|The Fiery Angel
Gluck|Iphigénie en Tauride
Schoenberg|Erwartung
Humperdinck|Hänsel und Gretel
Bizet|Les pêcheurs de perles
Meyerbeer|Les Huguenots
Mozart|La clemenza di Tito
Donizetti|La fille du régiment
Strauss|Ariadne auf Naxos
Donizetti|Maria Stuarda
Puccini|La rondine
Stravinsky|Oedipus Rex
Rameau|Castor et Pollux
Prokofiev|L'amour des trois oranges
Stockhausen|Licht
Shostakovich|The Nose
Puccini|Manon Lescaut 
Donizetti|Anna Bolena 
Saint-Saëns|Samson et Dalila
Weill|Die Dreigroschenoper
Tchaikovsky|The Queen of Spades
Janáček|Káťa Kabanová
Delibes|Lakmé
Britten|Death in Venice
Rossini|La donna del lago
Adès|The Tempest
Korngold|Die tote Stadt
Berlioz|La damnation de Faust
Handel|Alcina
Prokofiev|War and Peace
Adams|The Death of Klinghoffer
Offenbach|Orphée aux enfers
Bellini|I Capuleti e i Montecchi
Cilea|Adriana Lecouvreur
Zimmermann|Die Soldaten
Monteverdi|Il ritorno d'Ulisse in patria
Rimsky-Korsakov|Sadko
Rossini|Le comte Ory
Massenet|Thaïs
Falla|La vida breve
Berlioz|Benvenuto Cellini
Strauss|Capriccio
Reimann|Lear
Adams|Doctor Atomic
Britten|A Midsummer Night's Dream
Halévy|La Juive
Verdi|Ernani
Tchaikovsky|Iolanta
Cherubini|Médée
Busoni|Doktor Faust
Hindemith|Mathis der Maler
Thomas|Mignon
Berlioz|Béatrice et Bénédict
Lully|Armide
Strauss|Arabella
Nono|Prometeo
Janáček|The Makropulos Case
Verdi|Luisa Miller
Verdi|I vespri siciliani
Enescu|Œdipe
Lehár|Die lustige Witwe
Barber|Vanessa
Verdi|Stiffelio
Handel|Ariodante
Lully|Thésée
Reich|The Cave
Rimsky-Korsakov|The Golden Cockerel
Partch|Delusion of the Fury
Dallapiccola|Il prigioniero
Wagner|Rienzi
Thomson|Four Saints in Three Acts
Gluck|Alceste
Purcell|King Arthur
Feldman|Neither
Lachenmann|Das Mädchen mit den Schwefelhölzern
Strauss|Daphne
Handel|Rodelinda
Meyerbeer|L'Africaine
Charpentier|Louise
Weill|Aufstieg und Fall der Stadt Mahagonny
Weber|Euryanthe
Zandonai|Francesca da Rimini
Pergolesi|La serva padrona
Rameau|Hippolyte et Aricie
Heggie|Moby-Dick
Benjamin|Written on Skin
Rossini|Il turco in Italia
Schubert|Fierrabras
Gluck|Iphigénie en Aulide
Montemezzi|L'amore dei tre re
Poulenc|La voix humaine
Ravel|L'heure espagnole
Romitelli|An Index of Metals
Handel|Rinaldo
Britten|Albert Herring
Szymanowski|King Roger
Ponchielli|La Gioconda
Rossini|Semiramide
Menotti|The Consul
Delius|A Village Romeo and Juliet
Bellini|Il pirata
Donizetti|Poliuto
Rossini|Otello
Previn|A Streetcar Named Desire
Britten|The Rape of Lucretia
Rossini|Armida
