Stravinsky|The Rite of Spring
Bach|Brandenburg Concertos
Debussy|Prélude à L'Après-midi d'un Faune
Bartók|Concerto for Orchestra
Ravel|Daphnis et Chloé
Vaughan Williams|Fantasia on a Theme by Thomas Tallis
Debussy|La Mer
Strauss|Eine Alpensinfonie
Stravinsky|Petrushka
Stravinsky|The Firebird
Tchaikovsky|The Nutcracker
Mozart|Serenade No. 10 'Gran Partita'
Rimsky-Korsakov|Scheherazade
Bach|Orchestral Suites
Strauss|Also Sprach Zarathustra
Barber|Adagio for Strings
Handel|Water Music
Prokofiev|Romeo and Juliet
Smetana|Má Vlast
Copland|Appalachian Spring
Bartók|Music for Strings, Percussion and Celesta
Holst|The Planets
Grieg|Peer Gynt
Debussy|Nocturnes
Tchaikovsky|1812 Overture
Varèse|Amériques
Respighi|The Pines of Rome
Brahms|Variations on a Theme by Joseph Haydn
Sibelius|Finlandia
Beethoven|Egmont
Ives|The Unanswered Question
Tchaikovsky|Romeo and Juliet Overture
Ravel|Pavane pour une Infante Défunte
Debussy|Images pour Orchestre
Mozart|Serenade No. 13 'Eine Kleine Nachtmusik'
Strauss|Tod und Verklärung
Grieg|Holberg Suite
Elgar|Enigma Variations
Strauss|Metamorphosen
Tchaikovsky|Swan Lake
Mendelssohn|A Midsummer Night's Dream
Dvořák|Serenade for Strings
Webern|Six Pieces for Orchestra
Sibelius|Tapiola
Strauss|Ein Heldenleben
Prokofiev|Peter and the Wolf
Handel|Concerti Grossi, Op. 6
Gershwin|An American in Paris
Brahms|Tragic Overture
Tchaikovsky|Serenade for Strings
Schoenberg|Verklärte Nacht
Dukas|The Sorcerer's Apprentice
Stockhausen|Gruppen
J. Strauss II|The Blue Danube
Liszt|Les Préludes
Handel|Music for the Royal Fireworks
Britten|The Young Person's Guide to the Orchestra
Sibelius|Lemminkäinen Suite
Rachmaninoff|Isle of the Dead
Rachmaninoff|Symphonic Dances
Strauss|Till Eulenspiegels lustige Streiche
Dvořák|Slavonic Dances
Stravinsky|Pulcinella
Falla|El Sombrero de Tres Picos
Rimsky-Korsakov|Capriccio Espagnol
Bartók|The Miraculous Mandarin
Ravel|La Valse
Brahms|Academic Festival Overture
Wagner|Siegfried Idyll
Bartók|Divertimento for String Orchestra
Debussy|Jeux
Berg|Three Pieces from the Lyric Suite
Tchaikovsky|The Sleeping Beauty
Ives|Three Places in New England
Ligeti|Atmosphères
Ravel|Le Tombeau de Couperin
Mendelssohn|The Hebrides Overture (Fingal's Cave)
Scriabin|The Poem of Ecstasy
Fauré|Pavane
Adams|Harmonielehre
Bax|Tintagel
Britten|Four Sea Interludes from Peter Grimes
Saint-Saëns|Danse Macabre
Strauss|Don Juan
Sibelius|Pohjola's Daughter
Webern|Passacaglia
Pärt|Cantus in Memoriam Benjamin Britten
Rimsky-Korsakov|Russian Easter Festival Overture
Barber|Second Essay for Orchestra
Rebel|Les Élémens
Penderecki|Threnody to the Victims of Hiroshima
Hindemith|Symphonic Metamorphosis on Themes of Carl Maria von Weber
Beethoven|Leonore Overture No. 3
Ravel|Rapsodie Espagnole
Lutosławski|Concerto for Orchestra
Bizet|L'Arlésienne
Villa-Lobos|Uirapuru
Sibelius|The Wood-Nymph
Respighi|The Fountains of Rome
Vaughan Williams|Job: A Masque for Dancing
Schubert|Rosamunde
Schoenberg|Five Pieces for Orchestra
Prokofiev|Scythian Suite
Copland|Rodeo
Holst|St. Paul's Suite
Milhaud|La Création du Monde
Sibelius|En Saga
Falla|El Amor Brujo
Brahms|Serenade No. 1
Prokofiev|Cinderella
Elgar|Introduction and Allegro
