Schubert|Piano Quintet in A 'Trout'
Beethoven|Piano Trio in B♭ 'Archduke' 
Schumann|Piano Quintet in E flat
Brahms|Piano Quintet in F minor
Messiaen|Quatuor pour la fin du temps
Dvořák|Piano Quintet No. 2 in A
Mendelssohn|Piano Trio No. 1 in D minor
Mozart|Quintet for Piano and Winds K. 452
Mozart|Piano Quartet No. 1 in G minor K. 478
Dvořák|Piano Trio No. 4 in E minor 'Dumky'
Schubert|Piano Trio No. 2 in E flat
Schubert|Piano Trio No. 1 in B flat
Schumann|Piano Quartet in E flat
Mozart|Piano Quartet No. 2 in E flat K. 493
Ravel|Piano Trio
Brahms|Piano Quartet No. 3 in C minor
Brahms|Horn Trio in E Flat
Tchaikovsky|Piano Trio in A minor
Brahms|Piano Quartet No. 1 in G minor
Shostakovich|Piano Trio No. 2 in E Minor
Rachmaninoff|Trio élégiaque in D minor
Brahms|Clarinet Trio in A minor
Fauré|Piano Quartet No. 1 in C minor
Shostakovich|Piano Quintet in G Minor
Brahms|Piano Trio No. 1 in B
Beethoven|Piano Trio No. 5 in D 'Ghost'
Brahms|Piano Quartet No. 2 in A
Haydn|Piano Trio in G Hob. XV/25
Dvořák|Piano Quartet No. 2 in E
Mendelssohn|Piano Sextet in D
Dvořák|Piano Trio No. 3 in F minor
Mozart|Trio for Clarinet, Viola, and Piano in E flat 'Kegelstatt'
Fauré|Piano Quintet No. 1 in D minor
Arensky|Piano Trio No. 1 in D minor
Elgar|Piano Quintet in A minor
Mendelssohn|Piano Trio No. 2 in C minor
Schumann|Piano Trio No. 1 in D minor
Saint-Saëns|Septet in E flat
Franck|Piano Quintet in F minor
Schumann|Piano Trio No. 3 in G minor
Schubert|Notturno in E flat
Brahms|Piano Trio No. 3 in C minor
Taneyev|Piano Quintet in G minor
Schnittke|Piano Quintet
Beethoven|Piano Trio in B flat No. 4 'Gassenhauer'
Mozart|Piano Trio in C K. 548
Bartók|Piano Quintet 
C. Schumann|Piano Trio in G minor
Mozart|Divertimento in B♭ K. 254
Medtner|Piano Quintet in C"
