Schubert|String Quartet No 14 in D minor, D. 810 'Death and the Maiden'
Beethoven|String Quartet No. 15 in A minor, Op. 132
Beethoven|String Quartet No. 13 in B♭ major, Op. 130 + Op. 133 'Grosse Fuge'
Beethoven|String Quartet No. 14 in C-sharp minor, Op. 131
Shostakovich|String Quartet No. 8 in C minor, Op.110
Debussy|String Quartet in G minor, Op. 10
Bartók|String Quartet No. 4, Sz. 91
Mozart|String Quartet No. 19 in C major, KV 465 'Dissonance'
Dvořák|String Quartet No. 12 in F major, Op. 96, B. 179 'American'
Ravel|String Quartet in F major
Haydn|String Quartet No. 61 in D minor, Op. 76 No. 2, Hob.III:76 'Fifths'
Schubert|String Quartet No.15 in G major, D. 887
Beethoven|String Quartet No. 16 in F major, Op. 135
Haydn|String Quartet No. 62 in C, Op. 76 No. 3, Hob.III:77 'Emperor'
Berg|Lyric Suite
Schubert|String Quartet No. 13 in A minor, D. 804 ”Rosamunde”
Borodin|String Quartet No. 2 in D major
Sibelius|String Quartet No. 4 in D minor, Op. 56 'Voces Intimae'
Schoenberg|String Quartet No 2, Op. 10
Mendelssohn|String Quartet No. 6 in F minor, Op. 80
Haydn|String Quartet No. 63 in B flat, Op. 76/4, Hob.III:78 'Sunrise'
Janáček|String Quartet No. 2, 'Intimate Letters'
Beethoven|String Quartet No. 11 in F minor, Op. 95
Bartók|String Quartet No. 6, Sz. 114
Bartók|String Quartet No. 5, Sz. 102
Ligeti|String Quartet No. 2
Grieg|String Quartet No. 1 in G minor, Op. 27
Fauré|String Quartet in E minor, Op. 121
Reich|Different trains
Webern|Five Movements for String Quartet, Op. 5
Janáček|String Quartet No.1 'Kreutzer Sonata'
Haydn|String Quartet No. 64 in D major, Op. 76/5, Hob.III:79 'Largo'
Schubert|String Quartet No.12 in C minor, D. 703 'Quartettsatz'
Crumb|Black Angels
Bartók|String Quartet No. 1 in A minor, Sz. 40
Shostakovich|String Quartet No. 15 in E♭ minor, Op. 144
Shostakovich|String Quartet No. 3, Op. 73
Smetana|String Quartet No. 1 in E minor, JB 1:105 'From My Life'
Shostakovich|String Quartet No 13 in B flat minor, Op. 138
Tchaikovsky|String Quartet No. 1 in D major, Op. 11
Beethoven|String Quartet No. 12 in E flat, Op. 127
Mozart|String Quartet No. 17 in B flat, KV 458 'The Hunt'
Bartók|String Quartet No. 3, Sz. 85
Haydn|String Quartet No. 30, Op.33 No. 2 in E♭ major, Hob. III:38 'The Joke'
Brahms|String Quartet No. 1 in C minor, Op. 51/1
Mozart|String Quartet No. 18 in A major, KV 464
Nielsen|String Quartet No. 1 in G minor, Op. 13
Barber|String Quartet in B minor, Op. 11
Ives|String Quartet No. 2
Brahms|String Quartet No. 3 in B flat, Op. 67
Beethoven|String Quartet No. 10 in E flat, Op. 74 'Harp'
Beethoven|String Quartet No. 7 in F major, Op. 59 No. 1
Beethoven|String Quartet No. 9 in C major, Op. 59 No. 3
Britten|String Quartet No. 2 in C, Op. 36
Dvořák|String Quartet No. 14 in A flat, Op. 105, B. 193
Gubaidulina|String Quartet No. 4 (with tape)
Mendelssohn|String Quartet No. 2 in A minor, Op. 13
Villa-Lobos|String Quartet No. 5, W. 263
Dutilleux|String Quartet 'Ainsi La Nuit'
Glass|String Quartet No. 3 'Mishima'
Beethoven|String Quartet No. 8 in E minor, Op. 59 No. 2
Dvořák|String Quartet No. 10 in E flat major, Op. 51, B. 92
Brahms|String Quartet No. 2 in A minor, Op 51 No. 2
Saariaho|Nymphéa (Jardin secret III) for string quartet and live electronics
Nielsen|String Quartet No. 3 in E flat major, Op. 14
Bartók|String Quartet No 2, Op. 17, Sz. 67
Schoenberg|String Quartet No. 4, Op. 37
Schnittke|String Quartet No. 2
Carter|String Quartet No. 1
Ligeti|String Quartet No. 1 'Métamorphoses nocturnes'
Mozart|String Quartet No. 14 in G major, KV 387
Mendelssohn|String Quartet No. 4 in E minor, Op. 44 No. 2
Schumann|String Quartet No. 1 in A minor, Op. 41 No. 1
Britten|String Quartet No. 1 in D major, Op. 25
Prokofiev|String Quartet No. 2 in F major, Op. 92
Vasks|String Quartet No. 4
Rubbra|String Quartet No. 4, Op. 150
Rochberg|String Quartet No. 3
Haas, G. F.|String Quartet No. 3 'In iij. Noct'
Glass|String Quartet No. 4 'Buczak'
Haydn|String Quartet No. 31 in B minor, Op. 33 No. 1, Hob.III:37
Hindemith|String Quartet No. 4, Op. 22
Ives|String Quartet No. 1, 'From the Salvation Army'
Shostakovich|String Quartet No. 5 in B flat major, Op. 92
Takemitsu|A Way a Lone
Stenhammar|String Quartet No. 4, Op. 25
Gubaidulina|String Quartet No. 3
Elgar|String Quartet in E minor, Op. 83
Bruch|String Quartet No. 2 in E major, Op. 10
Walton|String Quartet No. 2 in A minor
Haydn|String Quartet No. 57 in C major, Op 74 No. 1, Hob. III:72
Shostakovich|String Quartet No. 9 in E♭ major, Op. 117
Mendelssohn|String Quartet No. 3 in D major, Op. 44 No. 1
Carter|String Quartet No. 2
Schoenberg|String Quartet No. 1 in D minor, Op. 7
Webern|String Quartet, Op. 28
Kurtág|Hommage à Mihály András (12 Microludes for String Quartet), Op. 13
Villa-Lobos|String Quartet No.9, W. 457
Ferneyhough|Sonatas for String Quartet
Reger|String Quartet (No. 4) in E flat, Op. 109
Zemlinsky|String Quartet No. 4, Op. 25
Haydn|String Quartet No. 32 in C minor, Op. 33 No. 3, Hob. III:39 “The Bird”
Britten|String Quartet No. 3, Op. 94
Schnittke|String Quartet No. 3
Nielsen|String Quartet No 4 in F major, Op. 44
Cage|String Quartet In Four Parts
Haas, G. F.|String Quartet No. 7 with electronics
Coates|String Quartet No. 9
Lutosławski|String Quartet
Maderna|Quartetto per Archi in due tempi
Mozart|String Quartet No. 15 in D minor, KV 421
Schumann|String Quartet No. 3 in A major, Op. 41 No. 3
Dvořák|String Quartet No. 13 in G major, Op 106, B 192
Shostakovich|String Quartet No 14, Op. 142
Webern|Six Bagatelles for String Quartet, Op. 9
Xenakis|Tetras, for String Quartet
Harvey|String Quartet No. 4 with live electronics
Bridge|String Quartet No. 2 in G minor, H. 115
Bloch|String Quartet No. 2
Stravinsky|Three Pieces for String Quartet
Schoenberg|String Quartet No. 3, Op. 30
Haydn|String Quartet No. 23 in F minor, Op. 20 No. 5, Hob. III:35
Szymanowski|String Quartet No. 1 in C, Op. 37
Shostakovich|String Quartet No. 7 in F-sharp minor, Op. 108
Crawford-Seeger|String Quartet
Tchaikovsky|String Quartet No. 3 in E♭ minor, Op. 30
Penderecki|String Quartet No. 1
Nono|Fragmente - Stille, An Diotima
Kurtág|String Quartet, Op. 1
Shostakovich|String Quartet No. 11 in F minor, Op.122
Prokofiev|String Quartet No. 1 in B minor, Op. 50
Smetana|String Quartet No. 2 in D minor, JB 1:124
Haydn|String Quartet No. 53 in D major, Op. 64 No. 5, Hob. III:63 “The Lark”
Rihm|String Quartet No. 10
Carter|String Quartet No. 3
Haydn|String Quartet No. 60 in G major, Op. 76 No. 1, Hob. III:75
Martinů|String Quartet No. 6, H. 312
Henze|String Quartet No. 5
Takemitsu|Landscape, for string quartet
Reger|String Quartet (No. 5) in F sharp minor, Op.121
Dvořák|String Quartet No. 5 in F minor, Op. 9, B. 37
Myaskovsky|String Quartet No. 13 in A minor, Op. 86
Vaughan Williams|String Quartet No. 1 in G minor
Respighi|Quartetto Dorico
Hindemith|String Quartet No 5, Op 32
Koechlin|String Quartet No. 1 in D, Op. 51
Berio|Notturno (Quartetto III)
Manoury|Tensio, second string quartet with live-electronics
Cherubini|String Quartet No. 6 in A minor
Glass|String Quartet No. 5
Mendelssohn|String Quartet No. 5 in E flat major, Op. 44 No. 3
Haydn|String Quartet No. 66 in G major, Op. 77 No. 1, Hob. III:81
Nørgård|String Quartet No 8 ''Night Descending Like Smoke''
Ge Gan-Ru|String Quartet No. 5 'Fall of Baghdad'
Kagel|String Quartet No. 1
Martinů|String Quartet No. 7, H. 314 'Concerto Da Camera'
Haydn|String Quartet No. 59 in G minor, Op. 74 No. 3, Hob. III:74 'Rider'
Scelsi|String Quartet No. 3
Penderecki|String Quartet No. 2
Feldman|String Quartet No. 2
Dvořák|String Quartet No. 9 in D minor, Op. 34 B 75
Schubert|String Quartet No. 9 in G minor, D. 173
Ginastera|String Quartet No. 2, Op. 26
Shostakovich|String Quartet No. 2 in A major, Op. 68
Cherubini|String Quartet No. 1 in E flat
Shostakovich|String Quartet No. 4 in D, Op. 83
Zemlinsky|String Quartet No. 3, Op. 19
Lachenmann|Gran Torso
Radulescu|String Quartet No. 5 'Before The Universe Was Born'
Sciarrino|Sei Quartetti Brevi
Bridge|String Quartet No. 4, H. 188
Schoenberg|String Quartet in D major
Szymanowski|String Quartet No. 2, Op. 56
Beethoven|String Quartet No. 4 in C minor, Op. 18, No. 4
Haas, Pavel|String Quartet No. 2, Op. 7 'From The Monkey Mountains'
Dvořák|String Quartet No. 11 in C major, Op. 61, B. 121
Rihm|String Quartet No. 3 'Im Innersten'
Mennin, Peter|String Quartet No. 2
Riley|Requiem for Adam, for string quartet with sound collage
Tchaikovsky|String Quartet No. 2 in F major, Op. 22
Schumann|String Quartet No. 2 in F major, Op. 41 No. 2
Hindemith|String Quartet No. 2, Op. 10
Vaughan Williams|String Quartet No. 2 in A minor
Berg|String Quartet, Op. 3
Reger|String Quartet (No. 2) in A major, Op.54 No.2
Furrer|String Quartet No. 3
Bruckner|String Quartet in C minor, WAB 111
Thomson, Virgil|String Quartet No. 2
Birtwistle|Nine Movements for String Quartet
Dillon|String Quartet No. 6
Bacewicz|String Quartet No. 4
Sculthorpe|String Quartet No. 8
Adès|Arcadiana, For String Quartet, Op. 12
Shostakovich|String Quartet No. 10 in A flat major, Op. 118
Höller|Antiphon
Kagel|String Quartet III 'In Four Movements'
Tippett|String Quartet No. 4
Delius|String Quartet in E minor, RT viii/8 'Late Swallows'
Copland|Two Pieces for String Quartet
Babbitt|String Quartet No. 2
