Beethoven|Symphony No. 9 "Choral"
Mahler|Symphony No. 2 "Resurrection"
Beethoven|Symphony No. 3 "Eroica"
Mozart|Symphony No. 41 "Jupiter"
Shostakovich|Symphony No. 5
Mozart|Symphony No. 40 "Great"
Beethoven|Symphony No. 5
Beethoven|Symphony No. 7
Schubert|Symphony No. 9 "Great"
Brahms|Symphony No. 4
Dvořák|Symphony No. 9 "From the New World"
Beethoven|Symphony No. 6 "Pastoral"
Tchaikovsky|Symphony No. 6 "Pathétique"
Schubert|Symphony No. 8 "Unfinished"
Mahler|Symphony No. 5
Sibelius|Symphony No. 5
Mahler|Symphony No. 6 "Tragic"
Mahler|Symphony No. 9
Bruckner|Symphony No. 8 "The Apocalyptic"
Mahler|Symphony No. 4
Berlioz|Symphonie Fantastique
Prokofiev|Symphony No. 5
Shostakovich|Symphony No. 10
Mendelssohn|Symphony No. 4 "Italian"
Bruckner|Symphony No. 9
Nielsen|Symphony No. 5
Brahms|Symphony No. 1
Mozart|Symphony No. 39
Rachmaninoff|Symphony No. 2
Mozart|Symphony No. 38 "Prague"
Sibelius|Symphony No. 2
Haydn|Symphony No. 104
Mahler|Symphony No. 1 "Titan"
Beethoven|Symphony No. 8
Brahms|Symphony No. 3
Dvořák|Symphony No. 8
Bruckner|Symphony No. 7 "The Lyric"
Haydn|Symphony No. 94 "Surprise"
Mozart|Symphony No. 36 "Linz"
Haydn|Symphony No. 103 "The Drumroll"
Tchaikovsky|Symphony No. 5
Prokofiev|Symphony No. 6
Saint-Saëns|Symphony No. 3 "Organ"
Messiaen|Turangalîla-Symphonie
Vaughan Williams|Symphony No. 2 "A London Symphony"
Sibelius|Symphony No. 4
Nielsen|Symphony No. 4 "The Inextinguishable"
Dvořák|Symphony No. 7
Mozart|Symphony No. 25
Schubert|Symphony No. 5
Mahler|Symphony No. 8
Prokofiev|Symphony No. 1 "Classical"
Webern|Symphony
Schumann|Symphony No. 3 "Rhenish"
Beethoven|Symphony No. 4
Brahms|Symphony No. 2
Franck|Symphony in D minor
Mendelssohn|Symphony No. 3 "Scottish"
Honegger|Symphony No. 3 "Liturgique"
Glière|Symphony No. 3 "Ilya Muromets"
Sibelius|Symphony No. 7
Bruckner|Symphony No. 4 "Romantic"
Prokofiev|Symphony No. 3
Martinů|Symphony No. 6
Hindemith|Mathis der Maler
Tchaikovsky|Symphony No. 4
Haydn|Symphony No. 100 "Military"
Liszt|Faust Symphony
Shostakovich|Symphony No. 11 "The Year 1905"
Górecki|Symphony No. 3 "Symphony of Sorrowful Songs"
Sibelius|Symphony No. 6
Myaskovsky|Symphony No. 6
Elgar|Symphony No. 1
Bizet|Symphony in C
Janáček|Sinfonietta
Vaughan Williams|Symphony No. 7 "Sinfonia Antartica"
Stravinsky|Symphony in C
Mozart|Symphony No. 35 "Haffner"
Bruckner|Symphony No. 5
Bax|Symphony No. 1
Mahler|Symphony No. 3
Schönberg|Chamber Symphony No. 1
Schumann|Symphony No. 4
Berwald|Symphony No. 3 "Singulière"
Berio|Sinfonia
Copland|Symphony No. 3
Shostakovich|Symphony No. 7
Alfvén|Symphony No. 4
Prokofiev|Symphony No. 2
Ives|Symphony No. 4
Stravinsky|Symphony in Three Movements
Mahler|Symphony No. 7
Nielsen|Symphony No. 3 "Sinfonia Espansiva"
Roussel|Symphony No. 3
Scriabin|Symphony No. 4 "The Poem of Ecstasy"
Rautavaara|Symphony No. 8 "The Journey"
Suk|Asrael Symphony
Vaughan Williams|Symphony No. 5
Penderecki|Symphony No. 3
Beethoven|Symphony No. 2
Shostakovich|Symphony No. 8
Brian|Symphony No. 1 "Gothic"
Haydn|Symphony No. 88
Schönberg|Chamber Symphony No. 2
Ives|Symphony No. 3 "The Camp Meeting"
Vaughan Williams|Symphony No. 4
Mozart|Symphony No. 31 "Paris"
Schumann|Symphony No. 1 "Spring
Hovhaness|Symphony No. 2 "Mysterious Mountain"
Bantock|Hebridean Symphony
Shostakovich|Symphony No. 4
Sibelius|Symphony No. 3
Walton|Symphony No. 1
Beethoven|Symphony No. 1
Elgar|Symphony No. 2
Stravinsky|Symphony of Psalms
Mozart|Symphony No. 29
Glazunov|Symphony No. 4
Mendelssohn|Symphony No. 5 "Reformation"
Raff|Symphony No. 5 "Lenore"
Schnittke|Symphony No. 1
Berlioz|Roméo et Juliette
Haydn|Symphony No. 82 "A Bear"
Tchaikovsky|Manfred Symphony
Simpson|Symphony No. 9
Berlioz|Harold en Italie
Beach|Gaelic Symphony
Rachmaninoff|Symphony No. 3
Hanson|Symphony No. 2 "Romantic"
Shostakovich|Symphony No. 9
Haydn|Symphony No. 101 "The Clock"
Lutoslawski|Symphony No. 3
Bruckner|Symphony No. 6
Szymanowski|Symphony No. 3 "Song of the Night"
Bruckner|Symphony No. 3
Popov|Symphony No. 1
Bruckner|Symphony No. 2
Taneyev|Symphony No. 4
Mozart|Symphony No. 28
Tchaikovsky|Symphony No. 3 "Polish"
Sibelius|Symphony No. 1
Dvořák|Symphony No. 6
Schubert|Symphony No. 4 "Tragic"
Prokofiev|Symphony No. 7
Schubert|Symphony No. 6 "Little"
Barber|Symphony in One Movement
Rimsky-Korsakov|Symphony No. 2 "Antar"
Schmidt|Symphony No. 4
Kraus|Symphony in C Minor
Borodin|Symphony No. 2
