Mozart|Clarinet Concerto
Haydn|Trumpet Concerto
Mozart|Oboe Concerto (Flute Concerto No. 2)
Bach|Oboe d'amore Concerto (BWV 1053r)
Copland|Clarinet Concerto
Weber|Clarinet Concerto No. 1
Bach|Oboe d'amore Concerto (BWV 1055r)
Strauss|Oboe Concerto
Mozart|Horn Concerto No. 3
Weber|Clarinet Concerto No. 2
Finzi|Clarinet Concerto
Hummel|Trumpet Concerto
Crusell|Clarinet Concerto No. 3
Spohr|Clarinet Concerto No. 1
Strauss|Horn Concerto No. 1
Mozart|Horn Concerto No. 4
Mozart|Sinfonia Concertante for Winds (K. 297b)
Ibert|Flute Concerto
Reinecke|Flute Concerto
Nielsen|Clarinet Concerto
Vaughan Williams|Tuba Concerto
Schumann|Konzertstück for 4 Horns
Mozart|Flute Concerto No. 1
Corigliano|Clarinet Concerto
Mozart|Bassoon Concerto
C.P.E. Bach|Flute Concerto in D minor (H 426)
Glière|Horn Concerto
Rimsky-Korsakov|Trombone Concerto
Boulez|...explosante-fixe...
Albinoni|Oboe Concerto op. 9 no. 2
Telemann|Trumpet Concerto
Glazunov|Saxophone Concerto
Vivaldi|Double Trumpet Concerto
Debussy|'Rhapsodie' for Alto Saxophone and Orchestra
Vivaldi|Flute Concerto op. 10 no. 2 'La notte'
Weber|Bassoon Concerto
Strauss|Horn Concerto No. 2
Gubaidulina|Bassoon Concerto
Hummel|Bassoon Concerto
Vivaldi|Flute Concerto op. 10 no. 3 'Il gardellino'
Copland|Quiet City
Vaughan Williams|Oboe Concerto
Vivaldi|Concerto for Oboe and Bassoon
Rautavaara|Flute Concerto
Sandstrom|Motorbike Odyssey
Rota|Trombone Concerto
de Frumerie|Trombone Concerto
Kozeluch|Clarinet Concerto No. 1
Vivaldi|Flute Concerto op. 10 no. 1 'La tempesta di mare'
Nielsen|Flute Concerto
