Bach|The Well-Tempered Clavier, BWV 846–893
Beethoven|Piano Sonata No. 29, Op. 106 "Hammerklavier"
Beethoven|Piano Sonata No. 32, Op. 111
Chopin|24 Preludes, Op. 28
Bach|Goldberg Variations, BWV 988
Schubert|Piano Sonata No. 21, D. 960
Ravel|Gaspard de la Nuit
Chopin|Ballade No. 4, Op. 52
Schumann|Fantasie in C major, Op. 17
Mussorgsky|Pictures at an Exhibition
Beethoven|Piano Sonata No. 23, Op. 57 "Appassionata"
Debussy|Préludes, Books 1 & 2
Bach|Partitas, BWV 825–830
Beethoven|Piano Sonata No. 30, Op. 109
Chopin|Études, Op. 10
Liszt|Piano Sonata, S. 178
Shostakovich|24 Preludes and Fugues, Op. 87
Schubert|Four Impromptus, D. 899
Chopin|Études, Op. 25
Schumann|Davidsbündlertänze, Op. 6
Beethoven|Piano Sonata No. 21, Op. 53 "Waldstein"
Schumann|Kreisleriana, Op. 16
Schubert|Piano Sonata No. 20, D. 959
Beethoven|Piano Sonata No. 31, Op. 110
Prokofiev|Piano Sonata No. 7, Op. 83 "Stalingrad"
Beethoven|Piano Sonata No. 8, Op. 13 "Pathétique"
Ravel|Miroirs
Bach|English Suites, BWV 806-811
Beethoven|33 Variations on a Waltz by Anton Diabelli, Op. 120
Ravel|Pavane pour une infante défunte
Albéniz|Iberia
Mozart|Piano Sonata No. 14, K. 457
Beethoven|Piano Sonata No. 14, Op. 27/2 "Moonlight"
Schumann|Carnaval, Op. 9
Mendelssohn|Lieder ohne Worte
Schumann|Études Symphoniques, Op. 13
Prokofiev|Piano Sonata No. 6, Op. 82
Scriabin|Piano Sonata No. 5, Op. 53
Brahms|Variations on a Theme of Paganini, Op. 35
Debussy|Children's Corner, L. 113
Chopin|Ballade No. 1, Op. 23
Beethoven|Piano Sonata No. 28, Op. 101
Chopin|Nocturnes, Op. 9
Bach|French Suites, BWV 812-817
Medtner|Sonata Romantica, Op. 53/1
Schumann|Kinderszenen, Op. 15
Brahms|Six Pieces for piano, Op. 118
Schubert|Wanderer Fantasy, D. 760
